inventory_id,product_id,warehouse_id,quantity_on_hand,created_at,updated_at
76,26,2,84,2023-03-18T15:15:00,2023-05-27T15:00:00
77,27,2,132,2023-03-20T17:30:00,2023-06-09T09:25:00
78,28,2,13,2023-03-22T10:40:00,2023-05-19T11:50:00
79,29,2,210,2023-03-25T11:55:00,2023-06-03T14:15:00
80,30,2,15,2023-03-28T15:10:00,2023-05-29T16:40:00
81,31,2,73,2023-03-30T16:25:00,2023-06-06T10:05:00
82,32,2,46,2023-04-02T10:35:00,2023-05-14T12:30:00
83,33,2,8,2023-04-05T11:50:00,2023-05-05T14:55:00
84,34,2,21,2023-04-08T14:05:00,2023-05-18T09:20:00
85,35,2,78,2023-04-10T15:20:00,2023-06-12T11:45:00
86,36,2,52,2023-04-12T17:35:00,2023-05-22T14:10:00
87,37,2,41,2023-04-15T10:45:00,2023-05-24T16:35:00
88,38,2,61,2023-04-18T12:00:00,2023-05-28T10:00:00
89,39,2,33,2023-04-20T15:15:00,2023-05-17T12:25:00
90,40,2,49,2023-04-22T16:30:00,2023-05-30T14:50:00
91,41,2,87,2023-04-25T10:50:00,2023-05-08T09:15:00
92,42,2,39,2023-04-28T12:05:00,2023-06-13T11:40:00
93,43,2,71,2023-04-30T15:20:00,2023-05-07T14:05:00
94,44,2,43,2023-05-02T16:35:00,2023-05-10T16:30:00
95,45,2,31,2023-05-05T10:55:00,2023-05-23T10:55:00
96,46,2,17,2023-05-08T12:10:00,2023-05-16T13:20:00
97,47,2,28,2023-05-10T15:25:00,2023-05-10T15:25:00
98,48,2,58,2023-05-12T16:40:00,2023-05-20T15:45:00
99,49,2,37,2023-05-15T10:00:00,2023-05-15T10:00:00
100,50,2,48,2023-05-18T11:15:00,2023-05-25T12:10:00
